VCD info: dumpfile waveforms/pll_full.vcd opened for output.

============================================
PLL STARTED
Reference clock = 10 MHz
TDC clock       = 200 MHz
Control clock   = 50 MHz
Divider         = 4
Initial VCO target approximately 40 MHz
Stable-lock requirement = 1000 ctrl cycles = 20.00 us
============================================

time=23310000 state=2 error=13 tuning=608 kp=0 ki=0 locked=0
time=23410000 state=2 error=13 tuning=608 kp=0 ki=0 locked=0
time=23510000 state=2 error=13 tuning=608 kp=0 ki=0 locked=0
time=23610000 state=2 error=13 tuning=608 kp=0 ki=0 locked=0
time=23710000 state=2 error=13 tuning=608 kp=0 ki=0 locked=0
time=23810000 state=2 error=13 tuning=608 kp=0 ki=0 locked=0
time=23910000 state=2 error=14 tuning=608 kp=0 ki=0 locked=0
time=24010000 state=2 error=14 tuning=608 kp=0 ki=0 locked=0
time=24110000 state=2 error=14 tuning=608 kp=0 ki=0 locked=0
time=24210000 state=2 error=14 tuning=608 kp=0 ki=0 locked=0
time=24310000 state=2 error=14 tuning=608 kp=0 ki=0 locked=0
time=24410000 state=2 error=14 tuning=608 kp=0 ki=0 locked=0
time=24510000 state=2 error=14 tuning=608 kp=0 ki=0 locked=0
time=24610000 state=2 error=14 tuning=608 kp=0 ki=0 locked=0
time=24710000 state=2 error=14 tuning=608 kp=0 ki=0 locked=0
time=24810000 state=2 error=14 tuning=608 kp=0 ki=0 locked=0
time=24910000 state=2 error=14 tuning=608 kp=0 ki=0 locked=0
time=25010000 state=2 error=14 tuning=608 kp=0 ki=0 locked=0
time=25110000 state=2 error=14 tuning=608 kp=0 ki=0 locked=0
time=25210000 state=2 error=14 tuning=608 kp=0 ki=0 locked=0
time=25310000 state=2 error=14 tuning=608 kp=0 ki=0 locked=0
time=25410000 state=2 error=15 tuning=608 kp=0 ki=0 locked=0
time=25510000 state=2 error=15 tuning=608 kp=0 ki=0 locked=0
time=25610000 state=2 error=15 tuning=608 kp=0 ki=0 locked=0
time=25710000 state=2 error=15 tuning=608 kp=0 ki=0 locked=0
time=25810000 state=2 error=15 tuning=608 kp=0 ki=0 locked=0
time=25910000 state=2 error=15 tuning=608 kp=0 ki=0 locked=0
time=26010000 state=2 error=15 tuning=608 kp=0 ki=0 locked=0
time=26110000 state=2 error=15 tuning=608 kp=0 ki=0 locked=0
time=26210000 state=2 error=15 tuning=608 kp=0 ki=0 locked=0
time=26310000 state=2 error=15 tuning=608 kp=0 ki=0 locked=0
time=26410000 state=2 error=15 tuning=608 kp=0 ki=0 locked=0
time=26510000 state=2 error=15 tuning=608 kp=0 ki=0 locked=0
time=26610000 state=2 error=15 tuning=608 kp=0 ki=0 locked=0
time=26710000 state=2 error=15 tuning=608 kp=0 ki=0 locked=0
time=26810000 state=2 error=16 tuning=608 kp=0 ki=0 locked=0
time=26910000 state=2 error=16 tuning=608 kp=0 ki=0 locked=0
